kepler_name,koi_period,koi_teq,koi_prad,koi_smass,koi_disposition,koi_score,koi_steff,koi_srad,koi_impact
Kepler-227 b,9.48803557,793.0,2.26,0.9190,CONFIRMED,1.0000,5455.00,0.9270,0.146
Kepler-227 c,54.4183827,443.0,2.83,0.9190,CONFIRMED,0.9690,5455.00,0.9270,0.586
,19.89913995,638.0,14.6,0.9610,CANDIDATE,0.0000,5853.00,0.8680,0.969
,1.736952453,1395.0,33.46,0.8360,FALSE POSITIVE,0.0000,5805.00,0.7910,1.276
Kepler-664 b,2.525591777,1406.0,2.75,1.0950,CONFIRMED,1.0000,6031.00,1.0460,0.701
Kepler-228 d,11.09432054,835.0,3.9,1.0530,CONFIRMED,1.0000,6046.00,0.9720,0.538
Kepler-228 c,4.13443512,1160.0,2.77,1.0530,CONFIRMED,1.0000,6046.00,0.9720,0.762
Kepler-228 b,2.56658897,1360.0,1.59,1.0530,CONFIRMED,0.9920,6046.00,0.9720,0.755
,7.36178958,1342.0,39.21,1.3580,FALSE POSITIVE,0.0000,6227.00,1.9580,1.169
Kepler-229 c,16.06864674,600.0,5.76,0.8010,CONFIRMED,1.0000,5031.00,0.8480,0.052
Kepler-1 b,2.470613377,1339.0,13.04,0.9710,CONFIRMED,0.8110,5820.00,0.9640,0.818
Kepler-2 b,2.204735417,2048.0,16.1,1.4490,CONFIRMED,1.0000,6440.00,1.9520,0.224
Kepler-8 b,3.522498429,1521.0,14.59,1.1320,CONFIRMED,0.9980,6225.00,1.4510,0.631
Kepler-466 c,3.709214104,1206.0,1.16,0.9740,CONFIRMED,1.0000,5833.00,1.0220,0.051
,11.521446064,753.0,150.51,0.9380,FALSE POSITIVE,0.0000,5795.00,0.8480,2.483
,19.40393776,523.0,7.18,0.6570,FALSE POSITIVE,0.0000,5043.00,0.6800,0.804
,19.221388942,698.0,49.29,1.0250,FALSE POSITIVE,0.0000,6117.00,0.9470,1.065
,16.46983774,595.0,7.94,0.7410,FALSE POSITIVE,0.0000,5152.00,0.7860,0.292
Kepler-660 b,9.27358173,649.0,2.47,0.6760,CONFIRMED,1.0000,4856.00,0.6960,0.387
Kepler-661 b,6.02930329,678.0,2.85,0.7610,CONFIRMED,1.0000,4537.00,0.6720,0.258
,2.696370652,1066.0,1.58,0.7810,FALSE POSITIVE,0.0000,4989.00,0.8190,0.044
Kepler-226 c,5.349553819,919.0,2.55,0.8310,CONFIRMED,1.0000,5185.00,0.9100,0.092
Kepler-226 b,3.94105221,1018.0,1.7,0.8310,CONFIRMED,0.9800,5185.00,0.9100,0.226
Kepler-226 d,8.10904807,800.0,1.3,0.8310,CONFIRMED,0.9710,5185.00,0.9100,0.025
,386.6030528,297.0,41.5,1.1030,FALSE POSITIVE,,5543.00,1.5800,0.9765
